INFO 2024-04-15 22:36:40,736 autoreload 33552 34880 Watching for file changes with StatReloader
INFO 2024-04-15 22:36:43,740 views 33552 32852 Main page accessed
INFO 2024-04-15 22:36:43,741 basehttp 33552 32852 "GET / HTTP/1.1" 200 1121
WARNING 2024-04-15 22:36:43,905 log 33552 32852 Not Found: /favicon.ico
WARNING 2024-04-15 22:36:43,906 basehttp 33552 32852 "GET /favicon.ico HTTP/1.1" 404 2440
INFO 2024-04-15 22:36:47,249 views 33552 32852 About page accessed
INFO 2024-04-15 22:36:47,250 basehttp 33552 32852 "GET /about/? HTTP/1.1" 200 791
INFO 2024-04-15 22:36:48,422 views 33552 32852 Main page accessed
INFO 2024-04-15 22:36:48,423 basehttp 33552 32852 "GET /? HTTP/1.1" 200 1121
INFO 2024-04-15 22:36:49,781 views 33552 32852 About page accessed
INFO 2024-04-15 22:36:49,782 basehttp 33552 32852 "GET /about/? HTTP/1.1" 200 791
INFO 2024-04-15 22:36:50,805 views 33552 32852 Main page accessed
INFO 2024-04-15 22:36:50,806 basehttp 33552 32852 "GET /? HTTP/1.1" 200 1121
